"Word";"Phonetics";"DateEntryWord";"Definition";"RandomNumber";"CounterWords";"CumulWord";"Transl_F";"TypeOfWord";"Sentence";"DateSource";"TitleOfArticle";"Content";"Source"
"quirky";" ";22.4.1994 00:00:00;" ";0;0;0;"adj. capricieux, primesautier
(strange) �trange";"adjectif";"Noriega and Ceausescu pursued quirky impulses.";;"When Tyrants Fall";;"Time"
"to weed out";"d";22.4.1994 00:00:00;" ";700;0;0;"vt sep (fig.) weak candidates �liminer (from de); 
troublemakers expulser (from de)";"adjectif";"But, he added, ""we hope gradually to weed out all the  top officials who supported Ceausescu.""";;"Unfinished Revolution";;"Time"
"to put out";"d";22.4.1994 00:00:00;" ";700;0;0;"(issue) news annoncer; report, regulations publier
propaganda: faire
book, edition sortir, publier";"adjectif";"Communist Party officials in Beijing put out a directive telling their cadres how to interpret the revolution that swept across Eastern Europe last year, the result of the subversion of socialism by Soviet President M. Gorbachev.";;"Unfinished Revolution";;"Time"
"to head off";" ";22.4.1994 00:00:00;"[B1i pass] (informal)";700;0;0;" ";"adjectif";"Some members of the Front may have thought it a good idea to offer the Rumanian people some blood quickly in order to head off wider vengeance directed against communists in general.";;"Unfinished Revolution";;"Time"
"to cut off (2)";"d";27.4.1996 00:00:00;" ";700;0;0;;"adjectif";"From the carcass roasting over the fire, the man cut off a succulent piece and handed it to me on a knife.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"frenetic, frenzied";" ";27.4.1996 00:00:00;" ";0;0;0;"adj. person tr�s agit�; crowd en d�lire; efforts d�sesp�r�";"adjectif";"In the final days leading up to the meeting, lobbying efforts by both sides reached a frenzied level. The vote in Lausanne will not be unanimous, and any prohibition of ivory trading will be at best a patchwork.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to lead up to";"d";27.4.1996 00:00:00;" ";700;0;0;;"adjectif";"In the final days leading up to the meeting, lobbying efforts by both sides reached a frenzied level. The vote in Lausanne will not be unanimous, and any prohibition of ivory trading will be at best a patchwork.";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"unrelenting";" ";22.4.1994 00:00:00;" ";8;0;0;"adj. implacable";"adjectif";"Euphoria collides with the reality of post-Ceausescu life: unrelenting poverty, political confusion, ethnic tension.";;"Unfinished Revolution";;"Time"
"to hug";" ";6.3.1992 00:00:00;" ";88;0;0;"vt (hold close) serrer dans ses bras, �treindre";"adjectif";"She has not hugged her mother or gaze out the window or played with her nieces.";19.3.1990 00:00:00;"Love and Let Die";;"Time"
"to wedge";" ";6.3.1994 00:00:00;" ";229;0;0;"vt (stick, push) enfoncer (into, dans)";"adjectif";"Nurses wedge napkins under her fingers to prevent the nails from piercing her wrists.";19.3.1990 00:00:00;"Love and Let Die";;"Time"
"to press charges against somebody";" ";6.3.1994 00:00:00;" ";246;0;0;"engager des poursuites contre qqn.";"adjectif";"That same month the distric attorney in Brooklyn, N.Y., decided no to press any charges against three grown children who had turned off their father�s respirator, on the grounds that he  was already brain dead.";19.3.1990 00:00:00;"Love and Let Die";;"Time"
"shambles";" ";6.3.1994 00:00:00;" ";47;0;0;"(no plu) (gen: muddle) confusion, d�sordre, pagaille";"adjectif";"At a time when infant mortality is scandalously high and public health care is a shambles, does it make sense for taxpayers to spend tens of thousands of dollars a year to keep each uncounscious patient alive ?";19.3.1990 00:00:00;"Love and Let Die";;"Time"
"plight";;27.4.1996 00:00:00;" ";0;0;0;"situation critique, �tat critique";"adjectif";"But the plight of the incurably ill has challenged all these premises and left doctors and nurses deeply divided over their duties to the dying.";19.3.1990 00:00:00;"Love and Let Die";;"Time"
"prosecutor";" ";22.4.1994 00:00:00;" ";0;0;0;"plaignant";"adjectif";"He raged at his judges, who were not shown on the tape, insisted that he would answer only to the ""working class"" and refused to address the prosecutor�s charges that he had destroyed Rumania.";;"Unfinished Revolution";;"Time"
"to rage";" ";22.4.1994 00:00:00;" ";213;0;0;"vi. [person] �tre furieux (against contre), rager;
[battle, fire] faire rage";"adjectif";"He raged at his judges, who were not shown on the tape, insisted that he would answer only to the ""working class"" and refused to address the prosecutor�s charges that he had destroyed Rumania.";;"Unfinished Revolution";;"Time"
"ashen";" ";22.4.1994 00:00:00;" ";0;0;0;"adj. (pale) face terreux, cendreux
(greyish) cendr�";"adjectif";"The ashen face of the dictator, eyes open, blood oozing from his head, leaped almost instantly onto TV screens in Rumania and around the world.";;"Unfinished Revolution";;"Time"
"to leap";" ";22.4.1994 00:00:00;" ";0;0;0;"vi. [person, animal, fish] sauter, bondir";"adjectif";"The ashen face of the dictator, eyes open, blood oozing from his head, leaped almost instantly onto TV screens in Rumania and around the world.";;"Unfinished Revolution";;"Time"
"cave";" ";27.4.1996 00:00:00;" ";0;0;0;"caverne, grotte";"adjectif";"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"nearby";" ";27.4.1996 00:00:00;" ";0;0;0;"adv. pr�s, tout pr�s, � proximit�";"adjectif";"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"pittance";" ";27.4.1996 00:00:00;" ";0;0;0;"(gen) somme d�risoire; (income) maigre revenu";"adjectif";"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to live off/on";"d";27.4.1996 00:00:00;" ";0;0;0;"vt fus fruit, rice vivre de; (depend financially on) vivre aux d�pens de";"adjectif";"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to stalk";" ";27.4.1996 00:00:00;" ";0;0;0;"vt. game, prey traquer; suspect filer";"adjectif";"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";16.10.1989 00:00:00;"Trail of Shame: Elephants face a grim struggle against greed and deceit";;"Time"
"to sink/fall into oblivion";" ";22.4.1994 00:00:00;" ";0;0;0;"tomber dans l�oubli";"adjectif";"One by one, the rejected leaders of the former Soviet satellites, abandoned by Moscow, promised free elections- and more or less faded into oblivion.";;"When Tyrants Fall";;"Time"
"to be tumbling down";" ";22.4.1994 00:00:00;" ";0;0;0;"tomber en ruine";"adjectif";"The Berlin Wall came tumbling down; the cold war ended.";;"When Tyrants Fall";;"Time"
"to flare up";" ";22.4.1994 00:00:00;" ";0;0;0;"vi. [political situation] exploser;
[anger, fighting, revolt] �clater
[disease] se r�veiller, reprendre";"adjectif";"Returning from Tehran, Ceausescu found that demonstrations had flared throughout the country and into Bucharest, where he came face to face with rebellion in Palace Square, outside his office.";;"Unfinished Revolution";;"Time"
"disembowel";" ";22.4.1994 00:00:00;" ";0;0;0;"vt. �ventrer, �visc�rer, �triper";"adjectif";"The images that linger are those of naked bodies lying in rows on the ground, many with their ankles tied together with barbed wire. One is a seven-month fetus on the torso of its disemboweled mother.";;"When Tyrants Fall";;"Time"
"to linger";"d";27.4.1996 00:00:00;;700;0;0;" ";"adjectif";"The images that linger are those of naked bodies lying in rows on the ground, many with their ankles tied together with barbed wire. One is a seven-month fetus on the torso of its disemboweled mother.";;"When Tyrants Fall";;"Time"
"torso";" ";22.4.1994 00:00:00;" ";290;0;0;"(Anat.) torse";"adjectif";"The images that linger are those of naked bodies lying in rows on the ground, many with their ankles tied together with barbed wire. One is a seven-month fetus on the torso of its disemboweled mother.";;"When Tyrants Fall";;"Time"
"blatant";;27.4.1996 00:00:00;" ";0;0;0;"adj. injustice, lie etc. criant, flagrant
bully, social climber �hont�.";"adjectif";"China�s blatant attempt to intimidate Taiwan before its first democratic presidential election, on March 23rd, suddenly has East Asia�s most populous power eyeball-to-eyeball with its fourth-largest economic power, with all the damage that an accidental c";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"to stand eyeball-to-eyeball with sb.";" ";16.3.1996 00:00:00;" ";1;0;0;"se trouver nez � nez avec qn.";"adjectif";"China�s blatant attempt to intimidate Taiwan before its first democratic presidential election, on March 23rd, suddenly has East Asia�s most populous power eyeball-to-eyeball with its fourth-largest economic power, with all the damage that an accidental c";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"pushy=pushful";" ";16.3.1996 00:00:00;" ";1;0;0;"adj. (pej) person arriviste, qui se fait valoir, qui se met trop en avant";"adjectif";"If China is allowed to get away with bullying Taiwan, the security of one of the world�s most dynamic, and potentially richest, regions will be in jeopardy. Yet standing up more stoutly to an increasingly pushy China will take the sort of clear thinking a";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"stoutly";" ";16.3.1996 00:00:00;" ";1;0;0;"adv. fight, defend, resist vaillamment, intr�pidement
deny cat�goriquement";"adjectif";"If China is allowed to get away with bullying Taiwan, the security of one of the world�s most dynamic, and potentially richest, regions will be in jeopardy. Yet standing up more stoutly to an increasingly pushy China will take the sort of clear thinking a";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"to bully";" ";16.3.1996 00:00:00;" ";1;0;0;"vt. (persecute) tyranniser, pers�cuter
(frighten) intimider";"adjectif";"If China is allowed to get away with bullying Taiwan, the security of one of the world�s most dynamic, and potentially richest, regions will be in jeopardy. Yet standing up more stoutly to an increasingly pushy China will take the sort of clear thinking a";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"to defuse the situation";"vu";16.3.1996 00:00:00;" ";619;0;0;"d�samorcer la situation";"adjectif";"The growing gap between the two societies, and between governments on either side of the Strait, will make it extremely difficult to restore the calm. But it is clear that if the crisis is to be defused the two sides will have to start talking again.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"bust-up **";" ";16.3.1996 00:00:00;" ";0;0;0;"engueulade
to have a bust-up with sb. s�engueuler avec qn. (et rompre)";"adjectif";"It is not just that the East Asians are wary of attracting mighty China�s wrath - though they are. They had hoped, as western government had, that reforms at home, combined with fast-growing trade with the outside world, would give China a big enough economy.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"mighty";"vu";16.3.1996 00:00:00;" ";573;0;0;"adj. nation, king puissant; achievement formidable, consid�rable";"adjectif";"It is not just that the East Asians are wary of attracting mighty China�s wrath - though they are. They had hoped, as western government had, that reforms at home, combined with fast-growing trade with the outside world, would give China a big enough economy.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"wrath";" ";16.3.1996 00:00:00;" ";384;0;0;"col�re, courroux";"adjectif";"It is not just that the East Asians are wary of attracting mighty China�s wrath - though they are. They had hoped, as western government had, that reforms at home, combined with fast-growing trade with the outside world, would give China a big enough economy.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"entitlement";" ";5.4.1996 00:00:00;" ";0;0;1;"droit (to �)";"adjectif";"Under the chapter, employers and union organisations in Brussels themselves agreed on an entitlement to 12 weeks unpaid paternity leave after the birth or adoption of a child, and time off for urgent family reasons.";9.12.1996 00:00:00;"The truth about the social chapter";;"The Economist"
"to revamp";"d";19.4.1996 00:00:00;;700;0;0;" ";"adjectif";"Others go further and want to revamp the social chapter by giving the EU new areas of competence in social policy, or by extending qualified majority voting to areas currently requiring unanimity, such as social security.";9.12.1996 00:00:00;"The truth about the social chapter";;"The Economist"
"inmate";" ";5.4.1996 00:00:00;" ";0;0;0;"[house] occupant, r�sident
[prison] d�tenu; [hospital] malade, hospitalis�";"adjectif";"And although blacks comprise only 13% of the population, they account for almost half the country�s 1.4m inmates (in prison).";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"petty criminal";" ";5.4.1996 00:00:00;" ";355;0;0;"petit malfaiteur";"adjectif";"The other two-thirds came from jailing people for offences that did not require prison sentences in the past. In particular, the war on drugs has crammed America�s prisons with non-violent petty criminals.";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"to cram";" ";5.4.1996 00:00:00;" ";208;0;0;"vt. fourrer (into dans)";"adjectif";"The other two-thirds came from jailing people for offences that did not require prison sentences in the past. In particular, the war on drugs has crammed America�s prisons with non-violent petty criminals.";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"misfit";" ";5.4.1996 00:00:00;" ";0;0;0;"(fig: person) inadapt�";"adjectif";"There are better and more creative ways of dealing with many criminal misfits.
One would be to try to cut the demand for drugs rather than the supply.";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"franchise";" ";5.4.1996 00:00:00;" ";0;0;0;"(Pol) droit de suffrage or de vote
(Comm.) franchise";"adjectif";"Oregonians have cast their ballots by mail in local elections since 1981. The new process saves the state money; but the main purpose behind it was to expand the franchise to many voters who cannot  vote in the traditional manner.";9.12.1996 00:00:00;"Oregon: your vote is in the mail";;"The Economist"
"to cast a vote";" ";5.4.1996 00:00:00;" ";0;0;0;"voter";"adjectif";"Oregonians have cast their ballots by mail in local elections since 1981. The new process saves the state money; but the main purpose behind it was to expand the franchise to many voters who cannot  vote in the traditional manner.";9.12.1996 00:00:00;"Oregon: your vote is in the mail";;"The Economist"
"loutish";" ";16.3.1996 00:00:00;" ";502;0;0;"adj. manners de rustre, de butor";"adjectif";"The message therefore needs to be conveyed - and not just by America, but by East Asians and Eruropeans too - that a lunge for Taiwan or an attempt to strangle its economy would make China an economic as well as political outcast.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"lunge";" vu";16.3.1996 00:00:00;" ";187;0;1;"(thrust) (brusque) coup or mouvement en avant";"adjectif";"The message therefore needs to be conveyed - and not just by America, but by East Asians and Eruropeans too - that a lunge for Taiwan or an attempt to strangle its economy would make China an economic as well as political outcast.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"outcast";" ";16.3.1996 00:00:00;" ";183;0;0;"exil�, proscrit, banni";"adjectif";"The message therefore needs to be conveyed - and not just by America, but by East Asians and Eruropeans too - that a lunge for Taiwan or an attempt to strangle its economy would make China an economic as well as political outcast.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"whim";" ";16.3.1996 00:00:00;" ";384;0;0;"caprice, fantaisie";"adjectif";"This time, to its credit, America has responded swiftly and prudently. By moving two aircraft carriers close to Taiwan, it has sent au unmistakable signal that it will not allow Taiwan to be toyed with at China�s whim.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"belated";" ";16.3.1996 00:00:00;" ";481;0;0;"adj. apology, greetings, measures tardif";"adjectif";"China�s row with the Phillipines last year over reefs in the South China Sea produced only a belated and barely audible squeak of protest from Washington.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"squeak";" ";16.3.1996 00:00:00;" ";263;0;0;"[person] petit cri aigu, glapissement";"adjectif";"China�s row with the Phillipines last year over reefs in the South China Sea produced only a belated and barely audible squeak of protest from Washington.";16.3.1996 00:00:00;"Stay back, China";;"The Economist"
"mayhem";" ";5.4.1996 00:00:00;" ";0;0;0;"(havoc) grabuge*; (destruction) destruction";"adjectif";"A study by the National Bureau of Economic Research found that the cost of locking up a violent criminal was much less than the cost of the mayhem he would probably have committed.";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"to lock up (in)";"d";5.4.1996 00:00:00;" ";700;0;0;"criminal mettre sous les verrous or en prison
mental patient etc. enfermer";"adjectif";"A study by the National Bureau of Economic Research found that the cost of locking up a violent criminal was much less than the cost of the mayhem he would probably have committed.";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"lane";" ";16.3.1996 00:00:00;" ";481;0;0;"(in country) chemin, petite route
(for aircraft, ships, runners) couloir
air/shipping lane couloir a�rien/ de navigation";"adjectif";"China might choose to turn a partial blockade into a full one: Taiwan, which relies upon open sea-lanes for its imports of oil, coal and steel, would be hobbled overnight.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"to hobble";"vu";16.3.1996 00:00:00;" ";575;0;0;"vi clopiner, boitiller
vt. horse entraver";"adjectif";"China might choose to turn a partial blockade into a full one: Taiwan, which relies upon open sea-lanes for its imports of oil, coal and steel, would be hobbled overnight.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"felony";" ";5.4.1996 00:00:00;" ";8;0;0;"(Jur) crime, forfait";"adjectif";"For example, under federal law the possession of five grammes of cocaine powder is a misdemeanour that carries a maximum prison sentence of a year. Possession of five grammes of crack cocaine, though, is a felony that carries a mandatory five-year sentenc";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"misdemeanour";" ";5.4.1996 00:00:00;" ";381;0;0;"incartade, �cart de conduite
(Brit. Jur.) infraction, contravention
(US Jur) d�lit";"adjectif";"For example, under federal law the possession of five grammes of cocaine powder is a misdemeanour that carries a maximum prison sentence of a year. Possession of five grammes of crack cocaine, though, is a felony that carries a mandatory five-year sentenc";9.12.1996 00:00:00;"Fighting crime: The case for emptier prisons";;"The Economist"
"to revamp";"d";19.4.1996 00:00:00;;700;0;0;" ";"adjectif";"France�s defence minister, Charles Millon, is right: the plan, announced by President Chirac, to revamp both France�s armed forces and its weapons industry marks a ""revolution"" in French defence thinking.";2.3.1996 00:00:00;"A French projection";;"The Economist"
"harlot  (obsolete word)";" ";16.3.1996 00:00:00;" ";235;0;0;"courtisane";"adjectif";"China has branded President Lee the ""harlot of history"" for his supposedly splittist tendencies.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"to brand";" ";16.3.1996 00:00:00;" ";29;0;0;"vt. (fig) person �tiqueter (as comme), stigmatiser";"adjectif";"China has branded President Lee the ""harlot of history"" for his supposedly splittist tendencies.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"dawn";" ";9.3.1996 00:00:00;" ";0;0;0;"(U) civilization aube; (an idea, hope) naissance";"adjectif";"An era may have ended. Spain�s Socialists, for the time being, are out. But the heralded new dawn of conservatism, let alone radical conservatism, is not at hand.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"to herald";" ";9.3.1996 00:00:00;" ";0;0;0;"vt annoncer; to ~ (in) annoncer l�arriv�e de";"adjectif";"An era may have ended. Spain�s Socialists, for the time being, are out. But the heralded new dawn of conservatism, let alone radical conservatism, is not at hand.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"ineffectual";" ";9.3.1996 00:00:00;" ";0;0;0;;"adjectif";"Thanks to the awkward shape of its mixed conscript-cum-professional army, it could barely muster 15,000 worthwhile troops. Even then it was (Gulf war of 1991) embarrassinglly ineffectual.";2.3.1996 00:00:00;"A French projection";;"The Economist"
"cumbrous = cumbersome";" ";9.3.1996 00:00:00;" ";0;0;0;"adj. (bulky) encombrant, embarrassant";"adjectif";"Its (France) nuclear deterrents�s land-based part will be scrapped, the procurement budget slashed by a fith, France�s old ideal of self-sufficiency in all weapons abandoned, its cumbrous arms industry completely overhauled.";2.3.1996 00:00:00;"A French projection";;"The Economist"
"to scrap";"d";30.4.1996 00:00:00;;700;0;0;" ";"adjectif";"Its (France) nuclear deterrents�s land-based part will be scrapped, the procurement budget slashed by a fith, France�s old ideal of self-sufficiency in all weapons abandoned, its cumbrous arms industry completely overhauled.";2.3.1996 00:00:00;"A French projection";;"The Economist"
"to slash";"d";19.4.1996 00:00:00;;388;0;0;" ";"adjectif";"Its (France) nuclear deterrents�s land-based part will be scrapped, the procurement budget slashed by a fith, France�s old ideal of self-sufficiency in all weapons abandoned, its cumbrous arms industry completely overhauled.";2.3.1996 00:00:00;"A French projection";;"The Economist"
"to cobble together";" ";9.3.1996 00:00:00;" ";0;0;0;"object, figures bricoler; solution, agreement bricoler, concocter";"adjectif";"In theory, Mr Gonzalez could still try to cobble together a coalition of his own, which could deny Mr Aznar his working majority and even present itself as a ruling alternative.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"wager";" ";9.3.1996 00:00:00;" ";0;0;0;"le pari
to lay a wager faire un pari";"adjectif";"They (investment banks) can gamble in two ways. First, some have proprietary trading desks, which by buying and selling securities make straightforward wagers on financial markets.";2.3.1996 00:00:00;"A French projection";;"The Economist"
"punter";"d";5.4.1996 00:00:00;" ";0;0;0;"(Brit: gen) parieur";"adjectif";"In 1994, as those markets dropped, the banks lost heavily. Now, like reformed punters vowing never to go near another roulette wheel, many insist that those days are gone.";2.3.1996 00:00:00;"The gambling instinct";;"The Economist"
"to vow";" ";9.3.1996 00:00:00;" ";0;0;0;"vt. (publicly) jurer (to do de faire, that que)";"adjectif";"In 1994, as those markets dropped, the banks lost heavily. Now, like reformed punters vowing never to go near another roulette wheel, many insist that those days are gone.";2.3.1996 00:00:00;"The gambling instinct";;"The Economist"
"simile";" ";9.3.1996 00:00:00;" ";0;0;0;"(Literat) comparaison";"adjectif";"If one thing is guaranteed to rile investment bankers, it is being likened to common gamblers. Yet even the staidest will admit that the simile occasionally rings true.";2.3.1996 00:00:00;"The gambling instinct";;"The Economist"
"staid";" ";9.3.1996 00:00:00;" ";0;0;0;"adj. person pos�, rassis
opinion, behaviour pond�r�";"adjectif";"If one thing is guaranteed to rile investment bankers, it is being likened to common gamblers. Yet even the staidest will admit that the simile occasionally rings true.";2.3.1996 00:00:00;"The gambling instinct";;"The Economist"
"to rile*";" ";9.3.1996 00:00:00;" ";0;0;0;"vt agacer, mettre en boule";"adjectif";"If one thing is guaranteed to rile investment bankers, it is being likened to common gamblers. Yet even the staidest will admit that the simile occasionally rings true.";2.3.1996 00:00:00;"The gambling instinct";;"The Economist"
"to buy off";"d";5.4.1996 00:00:00;" ";700;0;1;"vt sep (bribe) person, group acheter (le silence de)";"adjectif";"Mr Jupp� sought to placate the unions by offering fresh talks on  the reforms, clarification of several misunderstandings, and a few apparent concessions. Such concessions look relatively modest. Will they be enough to buy the unions off?";9.12.1996 00:00:00;"The strength in Jupp�s inability to yield";;"The Economist"
"to placate";"vu";5.4.1996 00:00:00;" ";667;0;2;"vt. calmer, apaiser";"adjectif";"Mr Jupp� sought to placate the unions by offering fresh talks on  the reforms, clarification of several misunderstandings, and a few apparent concessions. Such concessions look relatively modest. Will they be enough to buy the unions off?";9.12.1996 00:00:00;"The strength in Jupp�s inability to yield";;"The Economist"
"to stave off";"d";16.3.1996 00:00:00;" ";700;0;0;"vt. sep danger �carter, conjurer; threat dissiper, conjurer";"adjectif";"An attempted invasion (from China) would be horribly bloody. Although Taiwan could probably stave off all but the most determined attack, the cost to the island would be severe.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"strait";" ";16.3.1996 00:00:00;" ";475;0;0;"Geog. le detroit
(fig) straits situation difficile";"adjectif";"Nobody in authority, on either side of the strait, is willing to suggest that China is close to war with Tawain, let alone with America.";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"scare";" ";16.3.1996 00:00:00;" ";1;0;0;"(rumour etc) le bruit alarmant or alarmiste";"adjectif";"The source of the scare lies offshore in the Taiwan Strait, where China�s military exercises reflect the rage of the Communist leadership in Beijing. China regards Taiwan as a rebellious province and fears it is moving towards a declaration of independenc";16.3.1996 00:00:00;"Taiwan votes, China thunders";;"The Economist"
"to shut up";"d";9.3.1996 00:00:00;" ";502;0;1;"vt. factory, business, theatre, fermer
(*:silence) faire taire, clouer le bec �*";"adjectif";"Many people in the outlying regions, especially Basques and Catalans, still suspect that the right (Aznar) wants to shut them up.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"to stir";"d";27.4.1996 00:00:00;;0;0;0;" ";"adjectif";"Worse for Spain, the country may now enter a period of weak and wishy-washy government, with parties and factions vying for advantage, terrorists and regionalists stirring the pot.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"to vie";"vu";9.3.1996 00:00:00;" ";642;0;0;"vi rivaliser, lutter";"adjectif";"Worse for Spain, the country may now enter a period of weak and wishy-washy government, with parties and factions vying for advantage, terrorists and regionalists stirring the pot.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"wishy-washy";" ";9.3.1996 00:00:00;" ";0;0;0;"adj. colour d�lav�; speech, style, taste fade, insipide
person sans aucune personnalit�";"adjectif";"Worse for Spain, the country may now enter a period of weak and wishy-washy government, with parties and factions vying for advantage, terrorists and regionalists stirring the pot.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"to mire";" ";9.3.1996 00:00:00;" ";81;0;1;"vt. (fig) involve in difficulties";"adjectif";"The puzzle of the election is why Mr Gonzalez, with unemployment officially stuck at 23% and his government mired in corruption, did as well as he did.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"limp";" ";9.3.1996 00:00:00;" ";324;0;2;"adj. (gen) mou
movement mou, sans �nergie; person (from heat, exhaustion) faible";"adjectif";"The Catalans might abstain, allowing Mr Aznar to form a government, but a limp one.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"bedraggled";" ";9.3.1996 00:00:00;" ";0;0;0;"adj. clothes, person d�braill�
hair embroussaill�; (wet) tremp�";"adjectif";"After Mr Gonzalez won the 1993 election without securing an outright majority, the Catalan leader made a pact with him, whereby Mr Pujol propped up the minority government but refused to form a coalition. Mr Aznar is now looking glumly at a similar deal. ";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"glumly";" ";9.3.1996 00:00:00;" ";82;0;1;"adv walk, d�un air triste; answer d�une voix triste
look, inspect d�un oeil or d�un regard morne";"adjectif";"After Mr Gonzalez won the 1993 election without securing an outright majority, the Catalan leader made a pact with him, whereby Mr Pujol propped up the minority government but refused to form a coalition. Mr Aznar is now looking glumly at a similar deal. ";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"to prop up";"vu";9.3.1996 00:00:00;" ";700;0;0;"(fig) r�gime maintenir
(Fin) the pound venir au secours de";"adjectif";"After Mr Gonzalez won the 1993 election without securing an outright majority, the Catalan leader made a pact with him, whereby Mr Pujol propped up the minority government but refused to form a coalition. Mr Aznar is now looking glumly at a similar deal. ";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"to chuckle";"d";9.3.1996 00:00:00;;700;0;0;" ";"adjectif";"Now his (Gonzalez) most likely aim is to watch Mr Aznar from the sidelines, chuckling as the new man ties himself in knots trying against the odds to run a coherent government.";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"backyard";" ";9.3.1996 00:00:00;" ";355;0;0;"yard at back of house; (fig) somewhere easily accessible (esp. one�s own backyard)";"adjectif";"Despite the shakiness of its economy, the Socialists even managed to win a regional election in Mr Gonzalez�s backyard, Andalusia. With left-wing parties still corralling more than half the vote nationwide, the heart of Spain still, it seems, beats a shad";9.3.1996 00:00:00;"Spain loses";;"The Economist"
"shakiness";" ";9.3.1996 00:00:00;" ";263;0;0;"(fig.) [position] instabilit�; [health] faiblesse, [knowledge] insuffisance, faiblesse";"adjectif";"Despite the shakiness of its economy, the Socialists even managed to win a regional election in Mr Gonzalez�s backyard, Andalusia. With left-wing parties still corralling more than half the vote nationwide, the heart of Spain still, it seems, beats a shad";9.3.1996 00:00:00;"Spain loses";;"The Economist"
