"Word";"Sentence"
"colpìre";"Certo che se non si crede più agli dei greci, la causa degli improvvisi attachi di panico è meno chiara. Il fenomeno compare in molte persone, anche fondamentalmente sane: ne avevano, per esempio Sigmund Freud. La diffusione del problema è allarmante: un "
"decórso";"Un 10% circa della popolazione è colpito nel corso della sua vita da attacchi di panico spontanei. Il decorso del disturbo presenta spesso delle oscillazioni, ma una volta che si è instaurato raramente scompare da sé. La qualità della vita peggiora sempre"
"susseguìre";"Un 10% circa della popolazione è colpito nel corso della sua vita da attacchi di panico spontanei. Il decorso del disturbo presenta spesso delle oscillazioni, ma una volta che si è instaurato raramente scompare da sé. La qualità della vita peggiora sempre"
"non di ràdo";"Un 10% circa della popolazione è colpito nel corso della sua vita da attacchi di panico spontanei. Il decorso del disturbo presenta spesso delle oscillazioni, ma una volta che si è instaurato raramente scompare da sé. La qualità della vita peggiora sempre"
"sfociàre";"Un 10% circa della popolazione è colpito nel corso della sua vita da attacchi di panico spontanei. Il decorso del disturbo presenta spesso delle oscillazioni, ma una volta che si è instaurato raramente scompare da sé. La qualità della vita peggiora sempre"
"accréscere";"Un 10% circa della popolazione è colpito nel corso della sua vita da attacchi di panico spontanei. Il decorso del disturbo presenta spesso delle oscillazioni, ma una volta che si è instaurato raramente scompare da sé. La qualità della vita peggiora sempre"
"contrassegnàre";"Medicina e psicologia clinica avevano sì costruito le più varie etichette diagnostische per quei disturbi che sono contrassegnati da angosce improvvise e comportamenti di fuga, ma con questo non si poteva dire di avere ancora in pugno il problema. Può dar"
"addirittùra";"Medicina e psicologia clinica avevano sì costruito le più varie etichette diagnostische per quei disturbi che sono contrassegnati da angosce improvvise e comportamenti di fuga, ma con questo non si poteva dire di avere ancora in pugno il problema. Può dar"
"stordiménto";"Come dimostrano i casi prima descritti, spesso all´inizio dell´attacco non c´è l´ansia, ma piuttosto sintomi somatici, come batticuore, affanno, vertigini, stordimento: la paura viene fuori quando questi sintomi sono interpretati come segni di una grave m"
"affàno";"Come dimostrano i casi prima descritti, spesso all´inizio dell´attacco non c´è l´ansia, ma piuttosto sintomi somatici, come batticuore, affanno, vertigini, stordimento: la paura viene fuori quando questi sintomi sono interpretati come segni di una grave m"
"subentràre";"Sentendosi continuamente ripetere ""Lei è fondamentalmente sano, non trovo niente di organico"", finisce per dubitare del medico oppure, proporzionalmente alla durata della sua carriera di paziente, anche di se stesso: subentrano allora la vergogna e la res"
"impostàre";"Un´accurata indagine terapeutica è indispensabile per impostare un trattamento corretto: prima di qualunque intervento bisogna descrivere e analizzare il comportamento problematico, per distinguerlo da altri possibili disturbi."
"raggiùngere";"Questi apparecchi permettono di cogliere e registrare le reazioni somatiche nel corso della vita quotidiana. I dati che abbiamo raccolto dimostrano che gli attachi hanno di regola un decorso di tipo acuto: molti sintomi raggiungono l´intensità massima già"
"notévole";"Ma che dire della notevole contraddizione fra i sintomi minacciosi che il paziente avverte e l´assenza nella maggior parte dei casi di una causa somatica? Per  quanto riguarda le percezioni somatiche, si tratta generalmente di processi normali che non ven"
"collegàre";"Ma che dire della notevole contraddizione fra i sintomi minacciosi che il paziente avverte e l´assenza nella maggior parte dei casi di una causa somatica? Per  quanto riguarda le percezioni somatiche, si tratta generalmente di processi normali che non ven"
"innestàre";"Nelle persone che soffrono di improvvisi attachhi d´angoscia, apparentemente inspiegabili, si è innestato di regola un simile circolo vizioso tra le varie componenti della normale reazione di paura. Il circolo vizioso può prendere le mosse da percezioni, "
"mòssa";"Nelle persone che soffrono di improvvisi attachhi d´angoscia, apparentemente inspiegabili, si è innestato di regola un simile circolo vizioso tra le varie componenti della normale reazione di paura. Il circolo vizioso può prendere le mosse da percezioni, "
"tràtto";"Immaginate di notare ad un tratto che il cuore comincia a battere più rapido. Non avendo una spiegazione di questi sintomi, entrate in ansia. Contemporaneamente pensate di essere sul punto di svenire...I pensieri cominciano a vorticare, vi sentite confusi"
"vorticàre";"Immaginate di notare ad un tratto che il cuore comincia a battere più rapido. Non avendo una spiegazione di questi sintomi, entrate in ansia. Contemporaneamente pensate di essere sul punto di svenire...I pensieri cominciano a vorticare, vi sentite confusi"
"svenìre";"Immaginate di notare ad un tratto che il cuore comincia a battere più rapido. Non avendo una spiegazione di questi sintomi, entrate in ansia. Contemporaneamente pensate di essere sul punto di svenire...I pensieri cominciano a vorticare, vi sentite confusi"
"pètto";"Immaginate di notare ad un tratto che il cuore comincia a battere più rapido. Non avendo una spiegazione di questi sintomi, entrate in ansia. Contemporaneamente pensate di essere sul punto di svenire...I pensieri cominciano a vorticare, vi sentite confusi"
"accòrgersi";"Immaginate di notare ad un tratto che il cuore comincia a battere più rapido. Non avendo una spiegazione di questi sintomi, entrate in ansia. Contemporaneamente pensate di essere sul punto di svenire...I pensieri cominciano a vorticare, vi sentite confusi"
"scomparìre";"Immaginate di notare ad un tratto che il cuore comincia a battere più rapido. Non avendo una spiegazione di questi sintomi, entrate in ansia. Contemporaneamente pensate di essere sul punto di svenire...I pensieri cominciano a vorticare, vi sentite confusi"
"mòto";"L´esempio che segue illustra un circolo vizioso messo in moto dai pensieri.
Leggete sul giornale che una persona della vostra età è morta di un infarto. Pensate: ""Potrei morire anch´io di un infarto. Il mio cuore non potrà reggere a molti altri attacchi "
"règgere";"L´esempio che segue illustra un circolo vizioso messo in moto dai pensieri.
Leggete sul giornale che una persona della vostra età è morta di un infarto. Pensate: ""Potrei morire anch´io di un infarto. Il mio cuore non potrà reggere a molti altri attacchi "
"frattèmpo";"L´esempio che segue illustra un circolo vizioso messo in moto dai pensieri.
Leggete sul giornale che una persona della vostra età è morta di un infarto. Pensate: ""Potrei morire anch´io di un infarto. Il mio cuore non potrà reggere a molti altri attacchi "
"rispecchiàre";"Come ci hanno poi riferito, quasi tutti questi soggetti hanno sofferto durante l´esperimento uno stato di grande ansia - rispecchiato peraltro anche dall´aumento della pressione arteriosa e dall´autentica accelerazione del polso."
"in sede di";"Una causa del lungo disinteresse per la sindrome di panico in sede di ricerca e di prassi terapeutica potrebbe aver a che fare con lo scarso successo dei corrispondenti approcci di trattamento."
"pràssi";"Una causa del lungo disinteresse per la sindrome di panico in sede di ricerca e di prassi terapeutica potrebbe aver a che fare con lo scarso successo dei corrispondenti approcci di trattamento."
"scàrso";"Una causa del lungo disinteresse per la sindrome di panico in sede di ricerca e di prassi terapeutica potrebbe aver a che fare con lo scarso successo dei corrispondenti approcci di trattamento."
"affrettàre";"Quello delle ""sette"" religiose è un argomento complesso, spesso oggetto di pregiudizi e valutazioni affrettate. Nelle pagine seguenti si tenterà di inquadrare il problema definendone i contorni, spesso sfuggenti e contraddittori."
"inquadràre";"Quello delle ""sette"" religiose è un argomento complesso, spesso oggetto di pregiudizi e valutazioni affrettate. Nelle pagine seguenti si tenterà di inquadrare il problema definendone i contorni, spesso sfuggenti e contraddittori."
"stabilìre";"È difficile stabilire in molti casi dove finisca la setta e inizi il movimento religioso, e se il termine setta con il suo significato denigratorio sia usato per invalidare forme di culto inconsuete o minoritarie."
"smarrìre";"Tutto questo fa dei movimenti religiosi, vecchi o nuovi, radicali o sincretisti che siano, un arcipelago complicato entro cui è facile smarrirsi anche per lo psicologo, soprattutto se culturalmente alieno e sociologicamente impreparato."
"corrèdo";"Non basta il corredo biologico a creare un bambino prodigio: quello che conta è la ""co-incidenza"" tra speciali attitudini innate, una famiglia sensibile e ricettiva, e un´epoca storica culturalmente propizia."
"compàrsa";"Secondo questa teoria, per produrre un bambino prodigio è necessaria una rara combinazione di eventi: ""È la convergenza fortuita di inclinazioni individuali altamente specifiche con una specifica ricettività ambientale a permettere la comparsa di un bambi"
"padroneggiàre";"I bambini prodigio hanno, secondo Feldman, un dono naturale per assimilare e padroneggiare un qualche specifico campo del sapere."
"rispondènza";"La rispondenza fra una certa disciplina e un talento individuale non basta però a garantire la comparsa del prodigio: risultati fuori dell´ordinario non si ottengono senza uno sforzo notevole da parte del bambino, per quanto dotato sia."
"allevàre";"Allevare un bambino prodigio ""esige una quantità di energia, impegno, sensibilità e pazienza superiore a quella che possiede la maggior parte di noi""."
"inaridìre";"Anche quando un talento eccezionale si manifesta e trova incoraggiamento nei genitori, può inaridirsi se la società non lo sostiene."
"intréccio";"Il bambino, il suo campo d´elezione, la famiglia e la società devono trovare esattamente la giusta corrispondenza per produrre un prodigio. L´improbabilità di un tale sottile intreccio di forze spiega perché lo sviluppo di un bambino prodigio sia un event"
"ravvicinàre";"La teoria di Feldman, che parte dallo studio ravvicinato e accurato di talenti estremamente specializzati, rimanda indirettamente e quasi inevitabilmente a un interrogativo del genere. Che accadrebbe, in altre parole, ai bambini in generale quando fossero"
"rimandàre";"La teoria di Feldman, che parte dallo studio ravvicinato e accurato di talenti estremamente specializzati, rimanda indirettamente e quasi inevitabilmente a un interrogativo del genere. Che accadrebbe, in altre parole, ai bambini in generale quando fossero"
"incanalàre";"Le cose ci aiutano ad incanalare l´energia psichica verso scopi che danno senso alla vita. Aiutano a perfezionare le competenze e a plasmare l´identità di chi le usa. Da qualche indizio sembra che le persone che si curano poco degli oggetti non si curino "
"plasmàre";"Le cose ci aiutano ad incanalare l´energia psichica verso scopi che danno senso alla vita. Aiutano a perfezionare le competenze e a plasmare l´identità di chi le usa. Da qualche indizio sembra che le persone che si curano poco degli oggetti non si curino "
"curàre";"Le cose ci aiutano ad incanalare l´energia psichica verso scopi che danno senso alla vita. Aiutano a perfezionare le competenze e a plasmare l´identità di chi le usa. Da qualche indizio sembra che le persone che si curano poco degli oggetti non si curino "
"prégio";"Un avvocato che nel corso della sua vita aveva accumulato in casa molti oggetti di pregio ne parlava generalemente con indifferenza. Ma quando gli fu chiesto quale fosse l´oggetto più strettamente suo tacque un momento e poi invitò l´intervistatrice a sce"
"tacére";"Un avvocato che nel corso della sua vita aveva accumulato in casa molti oggetti di pregio ne parlava generalemente con indifferenza. Ma quando gli fu chiesto quale fosse l´oggetto più strettamente suo tacque un momento e poi invitò l´intervistatrice a sce"
"seminterràto";"Un avvocato che nel corso della sua vita aveva accumulato in casa molti oggetti di pregio ne parlava generalemente con indifferenza. Ma quando gli fu chiesto quale fosse l´oggetto più strettamente suo tacque un momento e poi invitò l´intervistatrice a sce"
"sèggiola";"Ecco per esempio come ci ha spiegato un adolescente la sua scelta del tavolo e delle sedie di cucina come oggetti speciali: ""Perché mi ci siedo, ci gioco, ci mangio, ci faccio un sacco di cose con le seggiole e il tavolo."""
"sconvòlto";"Molti di loro (medici, avvocati..) nell´intervista hanno manifestato un vero terrore all´idea di esser privati dei supporti tangibili della loro identità professionale: ""Sarebbe tremendo. Sarei sconvolto senza i libri. Non riuscirei più a sentirmi a posto"
"mangianàstri";"Un quinto dei soggetti ha indicato fra le cose predilette lo stereo o il mangianastri. Qui l´età faceva una grandissima differenza: il 46% dei ragazzi contro il 18% dei genitori e appena il 6% dei nonni."
"sbalzo";"La musica quindi sembra avere l´effetto di modulare le emozioni, di compensare i sentimenti negativi. L´importanza di questa funzione è grande nell´adolescenza, quando gli sbalzi d´umore sono decisamente maggiori che nell´adulto."
"annèttere";"Quanto agli apparecchi televisivi, gli uomini li citavano più delle donne (29% contro il 14%). La generazione più giovane era quella che vi annetteva il maggior significato (37%), seguita dagli anziani (23%).
Spesso le ragioni fornite per giustificare l´"
"sfumatura";"Quanto agli apparecchi televisivi, gli uomini li citavano più delle donne (29% contro il 14%). La generazione più giovane era quella che vi annetteva il maggior significato (37%), seguita dagli anziani (23%).
Spesso le ragioni fornite per giustificare l´"
"gòffo";"L´esempio che più ci ha colpiti è quello di una donna che ha mostrato all´intervistatrice, quale oggetto per lei specialissimo, un´orribile statuetta cromata che riproduceva goffamente la Venere di Milo."
"incantésimo";"Il volgersi di molti alla magia, al misticismo e all´irrazionale è criticato spesso come una regressione, una fuga dalla realtà. Ma davvero la magia è solo un falso incantesimo per individui infantili e disturbati? Non potrebbe forse aprirci un varco alla"
"vàrco";"Il volgersi di molti alla magia, al misticismo e all´irrazionale è criticato spesso come una regressione, una fuga dalla realtà. Ma davvero la magia è solo un falso incantesimo per individui infantili e disturbati? Non potrebbe forse aprirci un varco alla"
"vòlgere";"Il volgersi di molti alla magia, al misticismo e all´irrazionale è criticato spesso come una regressione, una fuga dalla realtà. Ma davvero la magia è solo un falso incantesimo per individui infantili e disturbati? Non potrebbe forse aprirci un varco alla"
"pungènte";"Un uomo con una lunga veste fluente è in piedi in una stanza semibuia, tappezzata di veluto rosso. A una certa distanza davanti a lui c´è un tavolo montato come un altare: da un incensiere sale un fumo pungente, dall´odore penetrante."
"fluènte";"Un uomo con una lunga veste fluente è in piedi in una stanza semibuia, tappezzata di veluto rosso. A una certa distanza davanti a lui c´è un tavolo montato come un altare: da un incensiere sale un fumo pungente, dall´odore penetrante."
"bùio";"Un uomo con una lunga veste fluente è in piedi in una stanza semibuia, tappezzata di veluto rosso. A una certa distanza davanti a lui c´è un tavolo mntato come un altare: da un incensiere sale un fumo pungente, dall´odore penetrante."
"assòrto";"Con la spada l´uomo ha tracciato intorno a sé un cerchio immaginario. Ora assume un atteggiamento assorto nella contemplazione. Lo si ode mormorare parole misteriose, ripetendo sempre le stesse sillabe."
"fragóre";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"afferràre";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"sguainàre";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"selvàggio";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"scoppiàre";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"spalla";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"colmàre";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"scòrrere";"Fragore di battaglia riempe la stanza, mentre nubi di fumo caldo gli penetrano nel naso, rendendogli difficile il respiro. Di fronte a lui è in piedi un uomo imponente in armatura, col viso selvaggio e la spada sguainata. (L´uomo nel cerchio) distende ver"
"rintracciàre";"Avete osservato che cosa succedeva dentro di voi mentre stavate leggendo la descrizione del rituale magico?
Prendetevi un momento di tempo e cercate di rintracciare le vostre reazioni: potrebbero chiarirvi l´atteggiamento che avete verso l´irrazionale."
"improntàre";"Le risposte di tipo storico-sociologico a questa domanda non mancano, per lo più improntate a un giudizio negativo. La tendenza a rivolgersi verso l´irrazionale sarebbe una reazione di paura e di fuga di fronte agli insolubili problemi sociopolitici, all´"
"l´inquinaménto";"Le risposte di tipo storico-sociologico a questa domanda non mancano, per lo più improntate a un giudizio negativo. La tendenza a rivolgersi verso l´irrazionale sarebbe una reazione di paura e di fuga di fronte agli insolubili problemi sociopolitici, all´"
"trascuràre";"Queste argomentazioni possono essere in buona parte giuste, ma trascurano il fatto che i nuovi paradigmi cominciano sempre là dove meno ci si aspetta.
Rivolgersi all´irrazionale significa solo fuggire dalle responsabilità politico-sociali?"
"purché";"Mitologia, magia, mistica e meditazione non potrebbero aprirci vie d´accesso a una più adeguata comprensione della realtà e dinamica della psiche, purché le liberiamo dei loro accessori acritici, infantili e superstiziosi?"
"rigoglioso";"L´uomo moderno vive nel contesto di relazioni magiche molto più di quanto non creda. Non si intende con questo parlare dei residui, pur ancora rigogliosi, delle vecchie superstizioni, degli usi e costumi magici e religiosi, ma della normale vita quotidian"
"sovrappórre";"Alla maggior parte dei nostri rapporti interpersonali si sovrappongono magicamente immagini che ,ad esempio, attribuiscono al partner pregi o difetti dei nostri genitori, o ci fanno apparire i superiori nelle vesti dei severi inseganti che abbiamo conosci"
"prègio";"Alla maggior parte dei nostri rapporti interpersonali si sovrappongono magicamente immagini che ,ad esempio, attribuiscono al partner pregi o difetti dei nostri genitori, o ci fanno apparire i superiori nelle vesti dei severi inseganti che abbiamo conosci"
"repentàglio";"Ogni trasformazione o pericolo che minacci questi oggetti carichi di valore magico può quindi mettere gravemente a repentaglio i nostro senso d´identità."
"caricàre";"Ogni trasformazione o pericolo che minacci questi oggetti carichi di valore magico può quindi mettere gravemente a repentaglio i nostro senso d´identità."
"apprendiménto";"Una teoria e terapia psicologica che parta dall´idea che fattori archetipici come sesso, aggressione, sentimenti d´inferiorità... altro non siano che acquisizioni degli apprendimenti individuali, e quindi modificabili a piacere, porta alla rimozione dell´"
"rimozióne";"Una teoria e terapia psicologica che parta dall´idea che fattori archetipici come sesso, aggressione, sentimenti d´inferiorità... altro non siano che acquisizioni degli apprendimenti individuali, e quindi modificabili a piacere, porta alla rimozione dell´"
